RUN	pokemonapi.PokemonTestApi	pokemontestapi	1720996390955	 	3.11.5
USER	Prokemon API Test	START	1720996399538
REQUEST		Get butterfree	1720996399538	1720996399587	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996399590
USER	Prokemon API Test	START	1720996399590
REQUEST		Get onix	1720996399590	1720996399640	OK	 
USER	Prokemon API Test	END	1720996399643
USER	Prokemon API Test	START	1720996399643
REQUEST		Get ditto	1720996399643	1720996399671	OK	 
USER	Prokemon API Test	END	1720996399672
USER	Prokemon API Test	START	1720996399672
REQUEST		Get pikachu	1720996399673	1720996399718	OK	 
USER	Prokemon API Test	END	1720996399721
USER	Prokemon API Test	START	1720996399721
REQUEST		Get charmander	1720996399721	1720996399768	OK	 
USER	Prokemon API Test	END	1720996399777
USER	Prokemon API Test	START	1720996399777
REQUEST		Get psyduck	1720996399777	1720996399822	OK	 
USER	Prokemon API Test	END	1720996399826
USER	Prokemon API Test	START	1720996399826
REQUEST		Get butterfree	1720996399826	1720996399873	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996399876
USER	Prokemon API Test	START	1720996399876
REQUEST		Get onix	1720996399876	1720996399919	OK	 
USER	Prokemon API Test	END	1720996399922
USER	Prokemon API Test	START	1720996399922
REQUEST		Get ditto	1720996399922	1720996399952	OK	 
USER	Prokemon API Test	END	1720996399953
USER	Prokemon API Test	START	1720996399953
REQUEST		Get pikachu	1720996399953	1720996399999	OK	 
USER	Prokemon API Test	END	1720996400002
USER	Prokemon API Test	START	1720996400002
REQUEST		Get charmander	1720996400002	1720996400045	OK	 
USER	Prokemon API Test	END	1720996400048
USER	Prokemon API Test	START	1720996400048
REQUEST		Get psyduck	1720996400048	1720996400099	OK	 
USER	Prokemon API Test	END	1720996400103
USER	Prokemon API Test	START	1720996400103
REQUEST		Get butterfree	1720996400103	1720996400147	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996400150
USER	Prokemon API Test	START	1720996400150
REQUEST		Get onix	1720996400150	1720996400200	OK	 
USER	Prokemon API Test	END	1720996400202
USER	Prokemon API Test	START	1720996400202
REQUEST		Get ditto	1720996400203	1720996400233	OK	 
USER	Prokemon API Test	END	1720996400234
USER	Prokemon API Test	START	1720996400234
REQUEST		Get pikachu	1720996400234	1720996400282	OK	 
USER	Prokemon API Test	END	1720996400284
USER	Prokemon API Test	START	1720996400285
REQUEST		Get charmander	1720996400285	1720996400352	OK	 
USER	Prokemon API Test	END	1720996400357
USER	Prokemon API Test	START	1720996400357
REQUEST		Get psyduck	1720996400357	1720996400407	OK	 
USER	Prokemon API Test	END	1720996400410
USER	Prokemon API Test	START	1720996400410
REQUEST		Get butterfree	1720996400410	1720996400462	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996400465
USER	Prokemon API Test	START	1720996400465
REQUEST		Get onix	1720996400465	1720996400515	OK	 
USER	Prokemon API Test	END	1720996400518
USER	Prokemon API Test	START	1720996400518
REQUEST		Get ditto	1720996400518	1720996400552	OK	 
USER	Prokemon API Test	END	1720996400553
USER	Prokemon API Test	START	1720996400553
REQUEST		Get pikachu	1720996400553	1720996400612	OK	 
USER	Prokemon API Test	END	1720996400614
USER	Prokemon API Test	START	1720996400614
REQUEST		Get charmander	1720996400614	1720996400665	OK	 
USER	Prokemon API Test	END	1720996400668
USER	Prokemon API Test	START	1720996400668
REQUEST		Get psyduck	1720996400668	1720996400713	OK	 
USER	Prokemon API Test	END	1720996400716
USER	Prokemon API Test	START	1720996400716
REQUEST		Get butterfree	1720996400717	1720996400764	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996400767
USER	Prokemon API Test	START	1720996400767
REQUEST		Get onix	1720996400768	1720996400812	OK	 
USER	Prokemon API Test	END	1720996400815
USER	Prokemon API Test	START	1720996400816
REQUEST		Get ditto	1720996400816	1720996400844	OK	 
USER	Prokemon API Test	END	1720996400845
USER	Prokemon API Test	START	1720996400845
REQUEST		Get pikachu	1720996400845	1720996400893	OK	 
USER	Prokemon API Test	END	1720996400896
USER	Prokemon API Test	START	1720996400896
REQUEST		Get charmander	1720996400896	1720996400942	OK	 
USER	Prokemon API Test	END	1720996400945
USER	Prokemon API Test	START	1720996400945
REQUEST		Get psyduck	1720996400945	1720996400994	OK	 
USER	Prokemon API Test	END	1720996400997
USER	Prokemon API Test	START	1720996400997
REQUEST		Get butterfree	1720996400997	1720996401042	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996401044
USER	Prokemon API Test	START	1720996401045
REQUEST		Get onix	1720996401045	1720996401109	OK	 
USER	Prokemon API Test	END	1720996401112
USER	Prokemon API Test	START	1720996401112
REQUEST		Get ditto	1720996401112	1720996401146	OK	 
USER	Prokemon API Test	END	1720996401146
USER	Prokemon API Test	START	1720996401147
REQUEST		Get pikachu	1720996401147	1720996401195	OK	 
USER	Prokemon API Test	END	1720996401198
USER	Prokemon API Test	START	1720996401198
REQUEST		Get charmander	1720996401198	1720996401247	OK	 
USER	Prokemon API Test	END	1720996401250
USER	Prokemon API Test	START	1720996401250
REQUEST		Get psyduck	1720996401250	1720996401300	OK	 
USER	Prokemon API Test	END	1720996401305
USER	Prokemon API Test	START	1720996401305
REQUEST		Get butterfree	1720996401305	1720996401356	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996401359
USER	Prokemon API Test	START	1720996401359
REQUEST		Get onix	1720996401360	1720996401408	OK	 
USER	Prokemon API Test	END	1720996401411
USER	Prokemon API Test	START	1720996401412
REQUEST		Get ditto	1720996401412	1720996401441	OK	 
USER	Prokemon API Test	END	1720996401442
USER	Prokemon API Test	START	1720996401442
REQUEST		Get pikachu	1720996401443	1720996401483	OK	 
USER	Prokemon API Test	END	1720996401486
USER	Prokemon API Test	START	1720996401486
REQUEST		Get charmander	1720996401486	1720996401536	OK	 
USER	Prokemon API Test	END	1720996401539
USER	Prokemon API Test	START	1720996401539
REQUEST		Get psyduck	1720996401539	1720996401590	OK	 
USER	Prokemon API Test	END	1720996401595
USER	Prokemon API Test	START	1720996401596
REQUEST		Get butterfree	1720996401596	1720996401645	KO	jmesPath(base_experience).find.is(112), but actually found 198
USER	Prokemon API Test	END	1720996401648
